,hotel_name,location,city,state
0,MAXTON SUITES,"#50 Ajose Street, Mende, Maryland, Lagos",Maryland,Lagos
1,7th Heaven Hotels And Suite,"No 11,Tunde Alabi Street,off Okey Okeke Drive, Arowojobe,mende,maryland,lagos.",Maryland,Lagos
2,Mississippi Hotel,"2, Sunmola Street, Mende-Maryland",Maryland,Lagos
3,Chadon Kitchen,"12/16 Tiamiyu Olushile Street, Mende",Maryland,Lagos
4,Arcadian Garden Hotel,5 Tinubu Road Palm Groove Estate,Maryland,Lagos
5,Planet One Hospitality Hotel,5 Mobolaji Bank Anthony Way Maryland,Maryland,Lagos
6,Trendy Inn Limited,"13 Adebowale Street, Mende",Maryland,Lagos
7,Hotel Tropicana,"22, Ajose Street, Mende",Maryland,Lagos
8,BANEX HOTEL AND SUITES,"60 Olorunlogbon Street,VOM Estate, Near Anthony Police Station Anthony, Maryland",Maryland,Lagos
9,Kemsmat  Suite And Residence,"3 Adebambo Street,by Wasimi Health Centre Off Aderibigbe Shitta Street Enter Via Mr.Biggs / Mobil Petrol Station",Maryland,Lagos
10,Marblefield Hotel Event,"35, Seinde Carlisto Crescent, Off Oshodi, Apapa Expressway",Oshodi-Isolo,Lagos
11,Bluenest Hotels,"9, Osolo Way, Off Int'l Airport Rd., 7",Isolo,Lagos
12,Chalon Suites,"2, Akiti Close, Akiti Avenue Off Okota Road",Oshodi-Isolo,Lagos
13,Buckingham Palace Hotel,"Plot 21 Baba Ewe Street, Off Ago Palace Way, Opp Diamond Bank.",Oshodi-Isolo,Lagos
14,New World Inn,41/47 Samuel Ekunola Street Off Ago Palace Way Lord B/Stop,Oshodi-Isolo,Lagos
15,Best Connection Hotel Ltd,23 Mafoluku Garage Road Off Airport Road Oshodi-Isolo Lagos,Oshodi-Isolo,Lagos
16,Cameo's Suites,2 Ibe Road Beside Apatha Memorial Garden School Ireakari,Isolo,Lagos
17,Bisade Royal Hotel,144 Ago-Palace Way Near Omonota Petrol Station Ago,Oshodi-Isolo,Lagos
18,David's Place Hotel,30 Ireakari Estate Isolo,Oshodi-Isolo,Lagos
19,World Klub Hotel,"Okota Road, Okota",Oshodi-Isolo,Lagos
20,HOUSE ONE HOTEL AND SUITES,"KM 42, Lekki-Epe Expressway, Destiny Homes Estate, Beside First Option School, Abijo Lekki Lagos Nigeria",Lekki-Epe,Lagos
21,Bucker's Palace Hotel,"20 Okun Mopo Road. Sangotedo Bus Stop, Lekki Epe Expressway",Lekki-Epe,Lagos
22,Dennolite Hotel International,Tee Junction Road,Epe,Lagos
23,Procare Suites And Resort,"4 ,Wasiu Odufisan Street, Noforija",Epe,Lagos
24,12.30 Inn,"1, Tolani Agbaje Crescent, Noforija",Epe,Lagos
25,Brilliant Hotel And Suites,"20,Olugbenga Salami Close Off Ijede Road,",Elepe-Ikorodu,Lagos
26,De Matthew's Bar,"1, Eyindi Street",Epe,Lagos
27,Deenolite Hotels International,1-4 Shile Shafau Crescent,Epe,Lagos
28,Silky Rolex Hotel,Lagos Road,Epe,Lagos
29,Ditto Hotel,"No. 20, Popo Oba Street",Epe,Lagos
30,Hotel Ibis Lagos Ikeja,"23 Toyin Street, Ikeja, Lagos",Ikeja,Lagos
31,Silver Grandeur Hotel,No. 4 Abgor Close Off Osolo Way.,Ajao Estate,Lagos
32,"Limeridge Hotel, Lekki","Plot 10, Chevron Drive",Lekki,Lagos
33,Jeromes Garden And Suites,"29, Oroleye Crescent, Off Abel Oreniyi Street, Off Salvation Road, Opebi",Ikeja,Lagos
34,Beni Apartments,Plot 37 Ahmed Onibudo Street Off Adeola Hopewell,Victoria Island,Lagos
35,Hotel Ibis Royale,"41, Murtala Mohammed International Airport Road,Ajao Road",Ajao Estate,Lagos
36,Glonik Hotels,118/120 Adeniyi Jones Avenue,Ikeja,Lagos
37,Apartment Royale Hotel And Suite,4 Wole Ogunjimi Street Off Agbaoku Street,Ikeja,Lagos
38,Lakeem Suites,"23 Adebola Street, Off Adeniran Ogunsanya Street",Surulere,Lagos
39,The Lagos Continental Hotel (Formerly Intercontinental Lagos Hotel),Plot 52AKofo Abayomi Street,Victoria Island,Lagos
40,Ibis Lagos Airport,35/37 Murtala Mohamed Intl Airport Road,Ajao Estate,Lagos
41,Wazobia Plaza Hotel,"25 Abekouta Street, Off Oba Akran Avenue Behind AP Filling Station Anifowoshe",Ikeja,Lagos
42,Beni Gold Hotel And Apartments,"18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Island, Lagos",Victoria Island,Lagos
43,Sheraton Lagos Hotel,"30 Mobolaji Bank Anthony Way, 21189 Airport Road",Ikeja,Lagos
44,The Regent Luxury Suites,25 Joel Ogunnaike Street,Ikeja,Lagos
45,Southern Sun Ikoyi Hotel,47 Alfred Rewane Road Ikoyi,Ikoyi,Lagos
46,Dupoint 71 Place,"Plot 71, Admiral Ayinla Way, 3rd Ikate Round About",Lekki,Lagos
47,Protea Hotel Kuramo Waters,"Kuramo Waters Close, Off Akin Ogunlewe St",Victoria Island,Lagos
48,Golden Tulip Festac Lagos,"Amuwo Odofin Mile 2 Lagos, P.M.B 031",Festac,Lagos
49,Benny Hotels,Plot 641 First Avenue,Festac,Lagos
50,Oak Hotel,"Plot 241 Festac Link Road, By Rasaki Junctio",Festac,Lagos
51,Rockview Hotel,"Plot 33, 23 Road, 2nd Avenue",Festac,Lagos
52,Newton Hotel,Plot 628A First Avenue Junction.,Festac,Lagos
53,Peridot Hotel,Lake View Phase 1 Plot 1D 3643 By Ican Center.,Festac,Lagos
54,Precious Garden Hotel,Plot 1045 422 Road 6th Avenue.,Festac,Lagos
55,Paris Suites Hotel,6 Avenue 421 Road B Close Plot 1007 Festac Extension,Festac,Lagos
56,Vicmike Villa Hotel,"Plot 65B, G 1 Close 21 Road By 4th Avenue Junction 2nd Avenue",Festac,Lagos
57,One Nation Gardens,4th Avenue F Close,Festac,Lagos
58,Whispering Palms Resort,Iworo,Badagry,Lagos
59,Protea Hotel Ikeja,"42/44 Isaac John Street, GRA",Ikeja,Lagos
60,Rita Lori Hotels Ltd,"1-4 Taoridi Street, Off Babs Animashaun Road",Surulere,Lagos
61,Villa Angelia Victoria Island,"20 Oju Olobun Street, Off Bishop Oluwole Street, Victoria Island",Victoria Island,Lagos
62,Precinct Comfort Service,"70a Masha Road, (two Buildings After Surulere Secretariat) Surulere",Surulere,Lagos
63,Haile Selassies Suite,"60, Adetola Street.",Surulere,Lagos
64,De Rigg Place,"6, Alhaji Rafiu Shittu Street, Alaka Estate, Stadium Side, Behind Zenith Bank Plc By Funsho Williams Avenue",Surulere,Lagos
65,Inglesias Hotels,"13 Martins Street, Off Ojuelegba Road, Tejuosho",Surulere,Lagos
66,Millicent Hotel And Suites,"45B, Ijesha Rd, By Adedeji Bus Stop, Surulere",Surulere,Lagos
67,Vintage Suites,"15c, Akinhanmi Street, Off Funsho Williams Avenue, By Fo Filling Statio",Surulere,Lagos
68,Suncity Hotels,"44 Karimu Street, Off Itire Road, Towards Ojuelegba",Surulere,Lagos
69,Easy Homes Royal,33 Eric Moore Close Off Eric Moore Road,Surulere,Lagos
70,Ree-Danielles,6 Emmanuel High Street Ogudu GRA,Ojota,Lagos
71,Hogan International Hotel,94 Emmanuel High St .,Ojota,Lagos
72,ELLIS SUITES,"22/26 Oremeta Street,",Ojodu Berger,Lagos
73,Sarah Sam Hotels Limited,115 Ogudu-Ojota Road Ogudu GRA,Ojota,Lagos
74,Hotel Capricorn,80 Victoria Street,Ojota,Lagos
75,Rexona Hotel,"12, Alhaji Bashir Street",Ojodu,Lagos
76,Hotel Rialto,"6, Alhaji Amoo Street Off Ogudu Road Ojota.",Ojota,Lagos
77,Soft Pedal Guest House,82 Isheri Road Opposite Grammer School Bustop,Ojodu,Lagos
78,Neneh's Place,"18, Emmanuel High Street, Off Ogudu Road, (Opposite Catholic Church) Ojota",Ojota,Lagos
79,New Parissona Hotel International,5 Victoria Street Off Ogudu Road,Ojota,Lagos
80,Feli Gold Hotel,"6 Nwobodo Eze Street, Beside Eleganza Company",Ajao Estate,Lagos
81,Green Point Hotels,"No. 20 Fatai Irawo,Street Off International Airport Road",Ajao Estate,Lagos
82,De Next Centre Resorts Limited,"16/18 Olutosin Ajayi Street, Ajao Estate, Off Muritala Muhammed Int'l Airport Road, Lagos",Ajao Estate,Lagos
83,Royal View Hotel,"5/7 Adeola Ajayi Crescent, Aviation Estate By Airport Junction Behind Welcome Centre Off Int'l Airport Road",Ajao Estate,Lagos
84,Golden Destiny Hotel Limited,"6 Awoniyi Elemo Street, Off Osolo Way Off M/M International Airport Road",Ajao Estate,Lagos
85,Park Lane Hotel,"40 Asa Afariogun, Eleganza Junction, Ajao Estate",Ajao Estate,Lagos
86,Swiss International D'Palms Airport Hotel,10/12 Kolawole Shonibare Street,Ajao Estate,Lagos
87,Unilag Guest House,University Of Lagos Akoka,Yaba,Lagos
88,The Snug,"30 Commercial Avenue, . Behind First Bank, Sabo, Yaba",Yaba,Lagos
89,Deke Hotel,Plot 79 Karimu Kotun Oyadiran Estate Sabo,Yaba,Lagos
90,Zest International Hotel,"12 Saint Finbarr's College Road, Akoka",Yaba,Lagos
91,Mobech Guest House Restaurant,"1, Igbobisbe Street, Jibowu",Yaba,Lagos
92,NSPRI GUEST HOUSE,"32/38, Barikisu Iyede Street, Abule Oja-Onitiri",Yaba,Lagos
93,Niger Palace Hotel,"1 Thorburn Avenue, Sabo","Yaba, Mainland",Lagos
94,The AHI Residence,"19 Lawal Street, Off Oweh Street, Jibowu",Yaba,Lagos
95,Precinct Comfort Services,20 Harvey Road Off Herbert Macaulay,Yaba,Lagos
96,Suit Las Caracas Hotel,14/ 116 Aderibigbe Street Off Ajayi Street By Custom Bustop By Onike,Yaba,Lagos
97,Sycomore Hotels Ltd,"Seje Road (off Badagry-Seme Expressway) Opposite Miracle Oil Service Station Topa-Ajara, Badagry",Badagry,Lagos
98,Zino Hotel International,"42, Alhaji Sinatu Street, Agbara Bus Stop, Badagry Expressway, Badagry, Lagos",Badagry,Lagos
99,La'Nova Continental Hotel,"KM 33, Badagry Expressway, Churchgate Bus Stop, Ayede Estate, Ibiye, Badagry, Lagos.",Badagry,Lagos
